rollpitchyaw accelero     gyroscope
7 11 14 	 -23 306 -52 	 -376 443 -486 

8 6 10 	 -41 418 -37 	 -441 -422 329 

7 353 9 	 -20 300 36 	 -967 714 -153 

11 352 6 	 -39 294 44 	 675 323 -93 

11 1 13 	 -38 283 1 	 -3 -51 -59 

6 357 14 	 -17 280 17 	 -71 -148 168 

358 0 14 	 21 253 3 	 -211 -205 126 

10 0 22 	 -37 316 2 	 106 -203 18 

7 357 20 	 -20 275 15 	 -103 208 156 

5 357 19 	 -11 276 15 	 -112 191 123 

3 357 16 	 0 287 15 	 13 -103 -58 

7 358 13 	 -18 284 13 	 139 -213 -200 

1 358 11 	 9 286 10 	 -259 452 950 

352 356 9 	 49 270 21 	 129 -771 -491 

356 357 353 	 32 270 16 	 67 -78 -35 

354 357 354 	 42 276 16 	 82 -131 -109 

355 358 354 	 38 279 11 	 48 -156 -217 

356 359 359 	 32 277 9 	 111 -299 -233 

1 1 6 	 6 278 -1 	 20 11 -168 

4 2 13 	 -5 281 -7 	 68 -245 -422 

10 2 21 	 -34 276 -3 	 35 -9 -247 

14 3 24 	 -50 271 -10 	 -4 -14 -39 

12 3 25 	 -42 278 -8 	 -70 156 70 

5 1 21 	 -8 277 1 	 -112 140 267 

355 0 13 	 38 283 1 	 -104 189 637 

350 358 3 	 56 271 12 	 -117 218 382 

344 356 355 	 82 265 18 	 -12 23 159 

342 357 347 	 94 266 15 	 -6 -23 34 

334 354 342 	 128 247 26 	 -60 54 230 

338 355 337 	 111 260 24 	 11 -297 -436 

345 357 339 	 83 271 16 	 92 -231 -495 

356 359 351 	 32 278 6 	 64 2 -480 

3 2 6 	 -1 287 -5 	 22 -148 -284 

6 0 12 	 -16 285 2 	 40 -65 -96 

7 0 16 	 -18 274 6 	 -57 -10 -61 

8 0 18 	 -21 272 3 	 -5 24 -32 

5 1 19 	 -11 281 1 	 11 -16 -27 

6 0 19 	 -13 272 4 	 -7 3 11 

5 1 17 	 -10 282 0 	 -21 1 11 

4 359 17 	 -4 288 6 	 18 4 -3 

4 359 17 	 -7 280 6 	 -63 87 116 

2 359 14 	 4 278 8 	 -47 87 127 

1 357 8 	 10 276 15 	 -51 73 57 

358 358 8 	 21 282 11 	 -2 -70 14 

358 356 7 	 22 278 18 	 -35 59 -5 

0 357 8 	 11 275 15 	 14 -29 -17 

358 357 6 	 22 279 14 	 -19 -18 0 

358 358 7 	 20 279 12 	 1 -18 7 

359 357 7 	 19 279 16 	 23 25 -2 

0 357 8 	 12 274 14 	 -30 -7 -1 

0 358 8 	 11 281 13 	 -6 6 -8 

1 358 8 	 10 281 13 	 -1 -35 2 

359 359 8 	 16 280 7 	 66 -221 -66 

1 0 14 	 7 285 3 	 31 -161 -32 

0 0 17 	 15 285 5 	 -86 344 301 

350 358 13 	 62 287 11 	 -68 243 686 

343 354 0 	 89 262 27 	 -127 339 396 

338 351 350 	 108 251 37 	 -46 148 187 

335 352 345 	 126 257 34 	 -3 29 49 

335 352 342 	 125 254 37 	 3 -16 25 

334 351 341 	 129 253 42 	 -101 120 127 

332 349 340 	 139 244 49 	 -18 106 174 

330 349 336 	 147 240 49 	 -32 24 94 

328 348 335 	 155 233 52 	 23 47 83 

327 348 333 	 159 232 51 	 -12 14 42 

327 347 332 	 159 232 56 	 16 -32 -16 

327 348 332 	 153 227 53 	 -13 -36 4 

328 348 333 	 155 234 52 	 5 -24 -36 

328 348 334 	 152 234 52 	 21 -23 -59 

337 355 332 	 115 262 21 	 188 -357 -831 

351 357 347 	 53 279 13 	 126 -32 -586 

1 0 4 	 9 286 3 	 32 -102 -157 

1 359 9 	 7 275 6 	 61 -201 -275 

10 2 15 	 -35 284 -4 	 71 -45 -544 

15 3 23 	 -53 268 -6 	 14 -97 -190 

18 2 29 	 -70 278 -4 	 70 -179 -383 

22 2 34 	 -88 266 -3 	 -37 5 -208 

25 2 36 	 -99 254 -4 	 -10 41 9 

26 2 36 	 -101 251 -1 	 -48 -9 -56 

25 3 36 	 -99 258 -6 	 12 47 52 

26 3 35 	 -102 257 -8 	 -17 75 -12 

27 5 35 	 -112 259 -18 	 53 -33 -126 

28 4 34 	 -112 247 -12 	 36 26 -104 

29 6 35 	 -119 254 -22 	 -126 294 221 

28 6 33 	 -113 252 -18 	 -36 22 -60 

31 5 32 	 -126 248 -16 	 140 -92 -261 

30 6 34 	 -121 244 -19 	 34 -25 -18 

30 6 34 	 -120 242 -21 	 24 -51 -60 

35 6 36 	 -138 235 -18 	 38 -37 -136 

27 7 36 	 -105 244 -25 	 -35 335 824 

18 5 33 	 -66 258 -17 	 -225 190 468 

11 3 18 	 -36 278 -10 	 -56 53 332 

3 316 18 	 -5 288 254 	 -141 -14 379 

0 359 8 	 11 280 6 	 -39 -132 96 

356 359 2 	 33 281 6 	 37 -180 39 

354 359 2 	 40 277 7 	 -2 6 102 

352 358 359 	 50 275 10 	 -14 -12 22 

350 358 359 	 56 269 11 	 1 -39 62 

351 358 358 	 56 275 12 	 -19 20 1 

351 358 358 	 54 277 10 	 -21 4 -2 

352 358 358 	 50 281 11 	 52 -60 -25 

351 357 357 	 55 276 14 	 -7 -9 -18 

